Total Nacional;Provincias;Edad simple;Sexo;Periodo;Total
Total Nacional;03 Alicante/Alacant;12 años;Hombres;1 de enero de 2019;10.302
Total Nacional;03 Alicante/Alacant;12 años;Mujeres;1 de enero de 2019;9.729
Total Nacional;03 Alicante/Alacant;13 años;Hombres;1 de enero de 2019;10.053
Total Nacional;03 Alicante/Alacant;13 años;Mujeres;1 de enero de 2019;9.529
Total Nacional;03 Alicante/Alacant;14 años;Hombres;1 de enero de 2019;10.078
Total Nacional;03 Alicante/Alacant;14 años;Mujeres;1 de enero de 2019;9.407
Total Nacional;03 Alicante/Alacant;15 años;Hombres;1 de enero de 2019;9.946
Total Nacional;03 Alicante/Alacant;15 años;Mujeres;1 de enero de 2019;9.307
Total Nacional;03 Alicante/Alacant;16 años;Hombres;1 de enero de 2019;9.406
Total Nacional;03 Alicante/Alacant;16 años;Mujeres;1 de enero de 2019;8.928
Total Nacional;03 Alicante/Alacant;17 años;Hombres;1 de enero de 2019;9.631
Total Nacional;03 Alicante/Alacant;17 años;Mujeres;1 de enero de 2019;8.866
Total Nacional;03 Alicante/Alacant;18 años;Hombres;1 de enero de 2019;9.619
Total Nacional;03 Alicante/Alacant;18 años;Mujeres;1 de enero de 2019;8.841
Total Nacional;03 Alicante/Alacant;19 años;Hombres;1 de enero de 2019;9.101
Total Nacional;03 Alicante/Alacant;19 años;Mujeres;1 de enero de 2019;8.949
Total Nacional;03 Alicante/Alacant;20 años;Hombres;1 de enero de 2019;9.246
Total Nacional;03 Alicante/Alacant;20 años;Mujeres;1 de enero de 2019;8.540
Total Nacional;03 Alicante/Alacant;21 años;Hombres;1 de enero de 2019;9.229
Total Nacional;03 Alicante/Alacant;21 años;Mujeres;1 de enero de 2019;8.661
Total Nacional;03 Alicante/Alacant;22 años;Hombres;1 de enero de 2019;9.229
Total Nacional;03 Alicante/Alacant;22 años;Mujeres;1 de enero de 2019;8.792
Total Nacional;03 Alicante/Alacant;23 años;Hombres;1 de enero de 2019;9.274
Total Nacional;03 Alicante/Alacant;23 años;Mujeres;1 de enero de 2019;8.790
Total Nacional;03 Alicante/Alacant;24 años;Hombres;1 de enero de 2019;9.256
Total Nacional;03 Alicante/Alacant;24 años;Mujeres;1 de enero de 2019;8.877
Total Nacional;03 Alicante/Alacant;25 años;Hombres;1 de enero de 2019;9.513
Total Nacional;03 Alicante/Alacant;25 años;Mujeres;1 de enero de 2019;8.857
Total Nacional;03 Alicante/Alacant;26 años;Hombres;1 de enero de 2019;9.821
Total Nacional;03 Alicante/Alacant;26 años;Mujeres;1 de enero de 2019;9.449
Total Nacional;03 Alicante/Alacant;27 años;Hombres;1 de enero de 2019;10.062
Total Nacional;03 Alicante/Alacant;27 años;Mujeres;1 de enero de 2019;9.546
Total Nacional;03 Alicante/Alacant;28 años;Hombres;1 de enero de 2019;10.226
Total Nacional;03 Alicante/Alacant;28 años;Mujeres;1 de enero de 2019;9.716
Total Nacional;03 Alicante/Alacant;29 años;Hombres;1 de enero de 2019;10.191
Total Nacional;03 Alicante/Alacant;29 años;Mujeres;1 de enero de 2019;9.987
Total Nacional;03 Alicante/Alacant;30 años;Hombres;1 de enero de 2019;10.646
Total Nacional;03 Alicante/Alacant;30 años;Mujeres;1 de enero de 2019;10.494
Total Nacional;03 Alicante/Alacant;31 años;Hombres;1 de enero de 2019;10.576
Total Nacional;03 Alicante/Alacant;31 años;Mujeres;1 de enero de 2019;10.557
Total Nacional;03 Alicante/Alacant;32 años;Hombres;1 de enero de 2019;11.010
Total Nacional;03 Alicante/Alacant;32 años;Mujeres;1 de enero de 2019;10.920
Total Nacional;03 Alicante/Alacant;33 años;Hombres;1 de enero de 2019;11.271
Total Nacional;03 Alicante/Alacant;33 años;Mujeres;1 de enero de 2019;11.258
Total Nacional;03 Alicante/Alacant;34 años;Hombres;1 de enero de 2019;11.683
Total Nacional;03 Alicante/Alacant;34 años;Mujeres;1 de enero de 2019;11.621
Total Nacional;03 Alicante/Alacant;35 años;Hombres;1 de enero de 2019;12.160
Total Nacional;03 Alicante/Alacant;35 años;Mujeres;1 de enero de 2019;12.197
Total Nacional;03 Alicante/Alacant;36 años;Hombres;1 de enero de 2019;13.075
Total Nacional;03 Alicante/Alacant;36 años;Mujeres;1 de enero de 2019;12.768
Total Nacional;03 Alicante/Alacant;37 años;Hombres;1 de enero de 2019;13.931
Total Nacional;03 Alicante/Alacant;37 años;Mujeres;1 de enero de 2019;13.518
Total Nacional;03 Alicante/Alacant;38 años;Hombres;1 de enero de 2019;14.598
Total Nacional;03 Alicante/Alacant;38 años;Mujeres;1 de enero de 2019;14.229
Total Nacional;03 Alicante/Alacant;39 años;Hombres;1 de enero de 2019;15.043
Total Nacional;03 Alicante/Alacant;39 años;Mujeres;1 de enero de 2019;14.511
Total Nacional;03 Alicante/Alacant;40 años;Hombres;1 de enero de 2019;15.838
Total Nacional;03 Alicante/Alacant;40 años;Mujeres;1 de enero de 2019;15.013
Total Nacional;03 Alicante/Alacant;41 años;Hombres;1 de enero de 2019;16.261
Total Nacional;03 Alicante/Alacant;41 años;Mujeres;1 de enero de 2019;15.165
Total Nacional;03 Alicante/Alacant;42 años;Hombres;1 de enero de 2019;16.232
Total Nacional;03 Alicante/Alacant;42 años;Mujeres;1 de enero de 2019;15.484
Total Nacional;03 Alicante/Alacant;43 años;Hombres;1 de enero de 2019;15.956
Total Nacional;03 Alicante/Alacant;43 años;Mujeres;1 de enero de 2019;15.079
Total Nacional;03 Alicante/Alacant;44 años;Hombres;1 de enero de 2019;16.063
Total Nacional;03 Alicante/Alacant;44 años;Mujeres;1 de enero de 2019;15.279
Total Nacional;03 Alicante/Alacant;45 años;Hombres;1 de enero de 2019;15.709
Total Nacional;03 Alicante/Alacant;45 años;Mujeres;1 de enero de 2019;14.816
Total Nacional;03 Alicante/Alacant;46 años;Hombres;1 de enero de 2019;15.448
Total Nacional;03 Alicante/Alacant;46 años;Mujeres;1 de enero de 2019;14.656
Total Nacional;03 Alicante/Alacant;47 años;Hombres;1 de enero de 2019;15.374
Total Nacional;03 Alicante/Alacant;47 años;Mujeres;1 de enero de 2019;14.552
Total Nacional;03 Alicante/Alacant;48 años;Hombres;1 de enero de 2019;15.064
Total Nacional;03 Alicante/Alacant;48 años;Mujeres;1 de enero de 2019;14.558
Total Nacional;03 Alicante/Alacant;49 años;Hombres;1 de enero de 2019;15.048
Total Nacional;03 Alicante/Alacant;49 años;Mujeres;1 de enero de 2019;14.332
Total Nacional;03 Alicante/Alacant;50 años;Hombres;1 de enero de 2019;14.566
Total Nacional;03 Alicante/Alacant;50 años;Mujeres;1 de enero de 2019;14.301
Total Nacional;03 Alicante/Alacant;51 años;Hombres;1 de enero de 2019;14.377
Total Nacional;03 Alicante/Alacant;51 años;Mujeres;1 de enero de 2019;14.516
Total Nacional;03 Alicante/Alacant;52 años;Hombres;1 de enero de 2019;14.168
Total Nacional;03 Alicante/Alacant;52 años;Mujeres;1 de enero de 2019;14.022
Total Nacional;03 Alicante/Alacant;53 años;Hombres;1 de enero de 2019;13.850
Total Nacional;03 Alicante/Alacant;53 años;Mujeres;1 de enero de 2019;13.800
Total Nacional;03 Alicante/Alacant;54 años;Hombres;1 de enero de 2019;14.252
Total Nacional;03 Alicante/Alacant;54 años;Mujeres;1 de enero de 2019;14.512
Total Nacional;03 Alicante/Alacant;55 años;Hombres;1 de enero de 2019;13.542
Total Nacional;03 Alicante/Alacant;55 años;Mujeres;1 de enero de 2019;13.524
Total Nacional;03 Alicante/Alacant;56 años;Hombres;1 de enero de 2019;12.963
Total Nacional;03 Alicante/Alacant;56 años;Mujeres;1 de enero de 2019;13.187
Total Nacional;03 Alicante/Alacant;57 años;Hombres;1 de enero de 2019;12.539
Total Nacional;03 Alicante/Alacant;57 años;Mujeres;1 de enero de 2019;12.939
Total Nacional;03 Alicante/Alacant;58 años;Hombres;1 de enero de 2019;12.450
Total Nacional;03 Alicante/Alacant;58 años;Mujeres;1 de enero de 2019;12.853
Total Nacional;03 Alicante/Alacant;59 años;Hombres;1 de enero de 2019;12.037
